,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14
36,"6197
",0.23941754,-0.008237822,0.4242656,0.12595318,0.2635547,-0.095675476,-0.49713433,0.5355514,0.06904316,0.16407469,-0.17699458,0.1291545,-0.43502125,0.32625744,-0.19691975
37,"6198
",0.0011825222,-0.0118245315,0.36713335,0.079667404,-0.078656115,0.04181468,0.25286815,0.022685708,-0.04413413,0.21142562,-0.09100239,-0.034408342,0.20140761,0.12609452,0.20200233
38,"6203
",0.37376308,0.037479497,0.13654304,0.12746641,0.22540326,-0.16865747,0.34131807,0.04048966,-0.059311297,0.68414176,0.28167146,-0.065479904,-0.6610165,-0.2445223,0.12874137
39,"6205
",0.10396261,-0.011831765,-0.057588957,0.002293342,-0.045895964,0.0026892712,0.29189694,-0.18725868,0.02774644,-0.017941466,0.47336864,0.33138275,0.6451504,-0.12214929,0.07942172
40,"6207
",-0.09309629,-0.020950105,0.2019769,0.12339754,-0.14367431,0.032744218,-0.06692567,0.024051497,0.32107863,-0.06851258,0.0051296744,-0.11060054,0.16034278,0.1358249,0.005727096
41,"6209
",0.37361163,0.007126841,-0.116109684,0.6506528,-0.051247057,0.09585415,-0.062090416,0.04403169,-0.48393553,0.1487116,0.06898958,0.06534294,0.334048,0.29467383,0.020485613
42,"6212
",-0.05154942,-0.05350795,-0.13444005,0.68430936,-0.082069576,-0.022297503,-0.0003749748,-0.09270156,0.19855325,0.18409397,-0.056696285,0.0035251472,0.47298548,0.5145798,0.1025637
43,"6215
",-0.14998327,0.031579137,-0.03482085,-0.09851888,-0.18355021,0.2745998,0.014481428,-0.023667177,0.1441197,0.104631916,0.32095164,-0.0119444635,-0.23718879,-0.019184005,-0.040872954
44,"6216
",-0.045964807,-0.032514203,-0.17453957,-0.0740616,-0.18505621,-0.03087406,-0.040271495,-0.11318078,-0.09769761,-0.048515223,0.18590847,0.03458049,-0.6012164,-0.07690901,-0.0020288206
45,"6217
",0.8697225,0.009153255,-0.14037097,0.15504678,0.20490901,-0.0569017,0.059490237,-0.10360765,-0.01497657,0.23487242,0.17504154,0.020875914,-0.2689905,-0.40396416,-0.22914672
46,"6218
",-0.12733454,-0.01415978,0.46346715,-0.23035541,-0.009563734,-0.0737736,0.19737463,0.15264176,0.0426728,0.11263305,-0.3730895,-0.017996045,-0.19160056,0.13533825,-0.015596399
47,"6219
",-0.034382857,-0.023668235,-0.1408962,0.026152082,-0.11381661,-0.076034985,0.024634458,0.10690851,0.003322715,0.042960156,-0.6589235,-0.010853084,-0.7664087,-0.022092646,0.14998052
